,scennumb,nsites_train,intra,select,regression,idtrain,idtest,hm,y_ref,y_pred,TP,TN,weights
202,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
203,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
204,1,1,1,1,1,1,1,0,1,0,0,0,0.703488372093
205,1,1,1,1,1,1,1,0,1,0,0,0,0.703488372093
206,1,1,1,1,1,1,1,0,1,0,0,0,0.703488372093
207,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
208,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
209,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
210,1,1,1,1,1,1,1,0,1,0,0,0,0.703488372093
211,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
212,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
213,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
214,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
215,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
216,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
217,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
218,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
219,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
220,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
221,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
222,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
223,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
224,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
225,1,1,1,1,1,1,1,0,0,1,0,0,0.703488372093
226,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
227,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
228,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
229,1,1,1,1,1,1,1,0,1,0,0,0,0.703488372093
230,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
231,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
232,1,1,1,1,1,1,1,0,0,1,0,0,0.703488372093
233,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
234,1,1,1,1,1,1,1,0,0,1,0,0,0.703488372093
235,1,1,1,1,1,1,1,0,0,1,0,0,0.703488372093
236,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
237,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
238,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
239,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
240,1,1,1,1,1,1,1,0,0,1,0,0,0.703488372093
241,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
242,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
243,1,1,1,1,1,1,1,0,0,1,0,0,0.703488372093
244,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
245,1,1,1,1,1,1,1,0,1,0,0,0,0.703488372093
246,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
247,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
248,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
249,1,1,1,1,1,1,1,0,0,1,0,0,0.703488372093
250,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
251,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
252,1,1,1,1,1,1,1,0,1,0,0,0,0.703488372093
253,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
254,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
255,1,1,1,1,1,1,1,1,1,1,1,0,0.703488372093
256,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
257,1,1,1,1,1,1,1,1,0,0,0,1,0.703488372093
258,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
259,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
260,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
261,1,1,1,0,1,1,1,0,1,0,0,0,0.703488372093
262,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
263,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
264,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
265,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
266,1,1,1,0,1,1,1,0,1,0,0,0,0.703488372093
267,1,1,1,0,1,1,1,0,1,0,0,0,0.703488372093
268,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
269,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
270,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
271,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
272,1,1,1,0,1,1,1,0,1,0,0,0,0.703488372093
273,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
274,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
275,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
276,1,1,1,0,1,1,1,0,0,1,0,0,0.703488372093
277,1,1,1,0,1,1,1,0,0,1,0,0,0.703488372093
278,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
279,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
280,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
281,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
282,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
